QoM,Speed,Acc,TiE,Flow,qomFiltered,timeEffortFiltered,flowFiltered
19.380365,0.0,0.0,77.52146,351.4337,19.380365,63.447445,588.98975
8.187092,0.0,0.0,159.99289,311.9126,19.380365,63.447445,351.4337
10.509602,0.0,0.0,179.59062,595.5166,10.878408,63.447445,351.4337
27.226318,0.0,0.0,108.90527,735.9237,19.380365,77.52146,351.4337
27.226318,0.0,0.0,80.05234,735.9237,19.380365,77.52146,351.4337
46.059097,0.0,0.0,376.7536,454.66235,23.387495,80.05234,351.4337
46.059097,0.0,0.0,376.7536,442.6301,23.387495,108.90527,442.6301
66.524925,0.0,0.0,294.99243,553.9739,27.226318,159.99289,454.66235
59.755684,0.0,0.0,322.4131,841.3736,27.226318,179.59062,553.9739
59.755684,0.0,0.0,322.4131,841.3736,46.059097,294.99243,595.5166
59.755684,0.0,0.0,322.4131,790.922,46.059097,322.4131,735.9237
114.366776,0.0,0.0,370.8244,452.6416,59.755684,322.4131,735.9237
114.366776,0.0,0.0,370.8244,452.6416,59.755684,322.4131,735.9237
114.366776,0.0,0.0,370.8244,452.6416,59.755684,370.8244,553.9739
79.54746,0.0,0.0,537.9646,533.4297,66.524925,370.8244,533.4297
79.54746,0.0,0.0,537.9646,956.1383,79.54746,370.8244,553.9739
79.54746,0.0,0.0,537.9646,956.1383,79.54746,370.8244,790.922
59.902645,0.0,0.0,239.61058,1066.1846,79.54746,370.8244,841.3736
45.487175,0.0,0.0,333.3463,264.9503,79.54746,370.8244,790.922
45.487175,0.0,0.0,333.3463,545.6622,79.54746,370.8244,545.6622
30.038431,0.0,0.0,120.153725,1220.2767,79.54746,370.8244,545.6622
30.038431,0.0,0.0,120.153725,1220.2767,79.54746,370.8244,956.1383
56.034447,0.0,0.0,415.02075,799.7859,59.902645,370.8244,956.1383
56.034447,0.0,0.0,415.02075,404.0125,56.034447,415.02075,956.1383
77.47653,0.0,0.0,309.90613,842.4098,56.034447,333.3463,956.1383
70.8921,0.0,0.0,471.59125,842.1377,56.034447,333.3463,842.4098
70.8921,0.0,0.0,471.59125,887.9408,56.034447,333.3463,842.4098
78.67301,0.0,0.0,320.5406,425.8176,56.034447,333.3463,842.1377
8.814852,0.0,0.0,507.07275,582.3625,56.034447,415.02075,842.1377
